Vehicle_ID,Speed,Position,Cluster
veh1.10,2.041310812323354,"(7.141310812323354, -1.6)",2
veh1.7,11.840040844675263,"(340.2515878232887, -1.6)",4
veh1.8,11.916730254719267,"(238.0409773017671, -1.6)",0
veh1.9,11.553878704852403,"(101.9850760074685, -1.6)",3
veh1.10,3.379243550240062,"(10.520554362563416, -1.6)",2
veh1.7,11.998365205010511,"(352.24995302829916, -1.6)",4
veh1.8,12.73116762451199,"(250.77214492627908, -1.6)",0
veh1.9,10.686743603202492,"(112.671819610671, -1.6)",3
veh1.10,5.153102058754302,"(15.673656421317718, -1.6)",2
veh1.7,11.522224504147768,"(363.7721775324469, -1.6)",4
veh1.8,11.914276456523922,"(262.686421382803, -1.6)",0
veh1.9,10.615270795741097,"(123.28709040641209, -1.6)",3
veh1.10,7.050756950723008,"(22.72441337204073, -1.6)",2
veh1.7,11.634076937237866,"(375.40625446968477, -1.6)",4
veh1.8,12.22638236781885,"(274.9128037506219, -1.6)",0
veh1.9,11.89598807035757,"(135.18307847676965, -1.6)",3
veh1.10,8.552057164208964,"(31.27647053624969, -1.6)",2
veh1.7,11.173985245401152,"(386.5802397150859, -1.6)",4
veh1.8,12.07485373007902,"(286.98765748070093, -1.6)",0
veh1.9,11.474848806972592,"(146.65792728374225, -1.6)",3
veh1.10,10.996975746518002,"(42.273446282767694, -1.6)",2
veh1.7,12.116270267168172,"(398.69650998225404, -1.6)",4
veh1.8,12.28596788446256,"(299.27362536516347, -1.6)",4
veh1.9,11.88408020427262,"(158.54200748801486, -1.6)",3
veh1.10,13.41532616908662,"(55.68877245185431, -1.6)",2
veh1.7,11.31686157781735,"(410.0133715600714, -1.6)",1
veh1.8,11.971642405580033,"(311.2452677707435, -1.6)",4
veh1.9,11.85081843582259,"(170.39282592383745, -1.6)",3
veh1.10,14.311972947823923,"(70.00074539967824, -1.6)",2
veh1.7,12.238404077800103,"(422.2517756378715, -1.6)",1
veh1.8,11.76462275087205,"(323.00989052161555, -1.6)",4
veh1.9,10.666873525779671,"(181.0596994496171, -1.6)",3
veh1.10,14.877446828442734,"(84.87819222812097, -1.6)",2
veh1.7,11.43044207577698,"(433.68221771364847, -1.6)",1
veh1.8,12.051282131293092,"(335.0611726529086, -1.6)",4
veh1.9,11.215445197697706,"(192.27514464731482, -1.6)",0
veh1.10,14.593873677575138,"(99.4720659056961, -1.6)",3
veh1.11,0.0,"(5.1, -1.6)",2
veh1.7,11.28204749645304,"(444.96426521010153, -1.6)",1
veh1.8,11.970403516425986,"(347.0315761693346, -1.6)",4
veh1.9,11.351206471513004,"(203.6263511188278, -1.6)",0
veh1.10,14.954319190848729,"(114.42638509654482, -1.6)",3
veh1.11,2.047001487761736,"(7.147001487761735, -1.6)",2
veh1.7,11.631885740134043,"(456.5961509502356, -1.6)",1
veh1.8,12.347059618000175,"(359.37863578733476, -1.6)",4
veh1.9,11.195112070066832,"(214.82146318889465, -1.6)",0
veh1.10,14.812667213506174,"(129.239052310051, -1.6)",3
veh1.11,4.491382745257579,"(11.638384233019314, -1.6)",2
veh1.7,11.584447196657882,"(468.1805981468935, -1.6)",1
veh1.8,11.737558795505436,"(371.1161945828402, -1.6)",4
veh1.9,11.79543647439962,"(226.61689966329428, -1.6)",0
veh1.10,14.352902557244631,"(143.5919548672956, -1.6)",3
veh1.11,6.864962793723681,"(18.503347026742993, -1.6)",2
veh1.7,11.101025196347498,"(479.281623343241, -1.6)",1
veh1.8,11.812177658400731,"(382.92837224124094, -1.6)",4
veh1.9,11.736146695327925,"(238.3530463586222, -1.6)",0
veh1.10,15.007648232937898,"(158.5996031002335, -1.6)",3
veh1.11,8.345386238442734,"(26.84873326518573, -1.6)",2
veh1.7,12.220228426317796,"(491.5018517695588, -1.6)",1
veh1.8,12.643379428580635,"(395.5717516698216, -1.6)",4
veh1.9,10.848784640382954,"(249.20183099900515, -1.6)",0
veh1.10,13.907210927652304,"(172.5068140278858, -1.6)",3
veh1.11,9.818217582372016,"(36.66695084755774, -1.6)",2
veh1.8,12.7797905490438,"(408.3515422188654, -1.6)",1
veh1.9,11.582352951516375,"(260.78418395052154, -1.6)",0
veh1.10,14.220480719497536,"(186.72729474738335, -1.6)",3
veh1.11,11.984370115352792,"(48.65132096291053, -1.6)",2
veh1.8,11.813813040585492,"(420.1653552594509, -1.6)",1
veh1.9,11.39728568498788,"(272.1814696355094, -1.6)",0
veh1.10,14.281181196365614,"(201.00847594374898, -1.6)",0
veh1.11,13.710327979246188,"(62.36164894215672, -1.6)",2
veh1.8,11.825557428987931,"(431.9909126884388, -1.6)",1
veh1.9,10.768039399872512,"(282.94950903538194, -1.6)",0
veh1.10,13.895677433544876,"(214.90415337729385, -1.6)",0
veh1.11,14.14830107081126,"(76.50995001296798, -1.6)",2
veh1.8,11.828352384588916,"(443.81926507302774, -1.6)",1
veh1.9,11.172249538752228,"(294.12175857413416, -1.6)",0
veh1.10,14.13516675234783,"(229.03932012964168, -1.6)",0
veh1.11,13.705260870884208,"(90.21521088385218, -1.6)",3
veh1.8,12.77453775053681,"(456.59380282356454, -1.6)",1
veh1.9,11.525192047770114,"(305.6469506219043, -1.6)",4
veh1.10,14.938613299685638,"(243.97793342932732, -1.6)",0
veh1.11,13.67786035006776,"(103.89307123391994, -1.6)",3
veh1.12,0.0,"(5.1, -1.6)",2
veh1.8,11.747471537458011,"(468.34127436102256, -1.6)",1
veh1.9,11.599823505476095,"(317.2467741273804, -1.6)",4
veh1.10,14.515382328848462,"(258.4933157581758, -1.6)",0
