Vehicle_ID,Cluster,AoN,SoN,SoB,Reputation
veh1.8,2,24,756.4,0.9364747300289007,3.3190559738255567
veh1.5,4,145,780.4,0.84274969124589,4.7557978700241526
veh1.6,4,103,771.8,0.616753915642777,3.9187471033811256
veh1.7,3,67,764.4,0.6120442434342902,3.4480924580279146
veh1.8,2,28,756.4,0.9364747300289007,3.368713093013075
veh1.5,1,149,780.4,0.84274969124589,4.805454989211671
veh1.6,4,107,771.8,0.616753915642777,3.968404222568644
veh1.7,3,71,764.4,0.6120442434342902,3.497749577215433
veh1.8,2,32,756.4,0.9364747300289007,3.4183702122005934
veh1.5,1,153,780.4,0.84274969124589,4.855112108399188
veh1.6,4,111,771.8,0.616753915642777,4.018061341756162
veh1.7,0,75,764.4,0.6120442434342902,3.5474066964029514
veh1.8,3,36,756.4,0.9364747300289007,3.468027331388112
veh1.5,1,157,780.4,0.84274969124589,4.904769227586707
veh1.6,4,115,771.8,0.616753915642777,4.067718460943681
veh1.7,0,79,764.4,0.6120442434342902,3.5970638155904697
veh1.8,3,40,756.4,0.9364747300289007,3.51768445057563
veh1.9,2,0,748.2,0.959754632422731,3.0320330242062257
veh1.5,1,162,780.4,0.84274969124589,4.966840626571105
veh1.6,4,120,771.8,0.616753915642777,4.129789859928079
veh1.7,0,84,764.4,0.6120442434342902,3.6591352145748672
veh1.8,3,45,756.4,0.9364747300289007,3.579755849560028
veh1.9,2,5,748.2,0.959754632422731,3.0941044231906236
veh1.5,1,167,780.4,0.84274969124589,5.028912025555503
veh1.6,1,125,771.8,0.616753915642777,4.191861258912477
veh1.7,0,89,764.4,0.6120442434342902,3.721206613559265
veh1.8,3,50,756.4,0.9364747300289007,3.641827248544425
veh1.9,2,10,748.2,0.959754632422731,3.1561758221750216
veh1.5,1,172,780.4,0.84274969124589,5.090983424539901
veh1.6,1,130,771.8,0.616753915642777,4.253932657896874
veh1.7,0,94,764.4,0.6120442434342902,3.7832780125436627
veh1.8,3,55,756.4,0.9364747300289007,3.703898647528823
veh1.9,2,15,748.2,0.959754632422731,3.2182472211594195
veh1.5,1,177,780.4,0.84274969124589,5.1530548235242986
veh1.6,1,135,771.8,0.616753915642777,4.316004056881272
veh1.7,0,99,764.4,0.6120442434342902,3.8453494115280606
veh1.8,3,60,756.4,0.9364747300289007,3.765970046513221
veh1.9,2,20,748.2,0.959754632422731,3.2803186201438166
veh1.5,1,182,780.4,0.84274969124589,5.215126222508696
veh1.6,1,140,771.8,0.616753915642777,4.37807545586567
veh1.7,0,104,764.4,0.6120442434342902,3.9074208105124586
veh1.8,3,65,756.4,0.9364747300289007,3.828041445497619
veh1.9,2,25,748.2,0.959754632422731,3.3423900191282145
veh1.5,1,187,780.4,0.84274969124589,5.277197621493094
veh1.6,1,145,771.8,0.616753915642777,4.4401468548500675
veh1.7,0,109,764.4,0.6120442434342902,3.969492209496856
veh1.8,3,70,756.4,0.9364747300289007,3.890112844482017
veh1.9,2,30,748.2,0.959754632422731,3.4044614181126125
veh1.5,1,192,780.4,0.84274969124589,5.3392690204774915
veh1.6,1,150,771.8,0.616753915642777,4.5022182538344655
veh1.7,0,114,764.4,0.6120442434342902,4.031563608481254
veh1.8,3,75,756.4,0.9364747300289007,3.952184243466414
veh1.9,2,35,748.2,0.959754632422731,3.4665328170970104
veh1.6,1,154,771.8,0.616753915642777,4.551875373021983
veh1.7,4,118,764.4,0.6120442434342902,4.0812207276687715
veh1.8,0,79,756.4,0.9364747300289007,4.001841362653932
veh1.9,2,39,748.2,0.959754632422731,3.516189936284529
veh1.7,4,121,764.4,0.6120442434342902,4.118463567059411
veh1.8,0,82,756.4,0.9364747300289007,4.039084202044571
veh1.9,2,42,748.2,0.959754632422731,3.5534327756751676
veh1.10,2,0,739.6,0.7949312808636206,2.796289395165908
veh1.7,4,125,764.4,0.6120442434342902,4.1681206862469296
veh1.8,0,86,756.4,0.9364747300289007,4.0887413212320896
veh1.9,3,46,748.2,0.959754632422731,3.603089894862685
veh1.10,2,4,739.6,0.7949312808636206,2.845946514353426
veh1.7,4,129,764.4,0.6120442434342902,4.217777805434448
veh1.8,0,90,756.4,0.9364747300289007,4.138398440419608
veh1.9,3,50,748.2,0.959754632422731,3.6527470140502034
veh1.10,2,8,739.6,0.7949312808636206,2.8956036335409445
veh1.7,4,133,764.4,0.6120442434342902,4.267434924621965
veh1.8,0,94,756.4,0.9364747300289007,4.188055559607126
veh1.9,3,54,748.2,0.959754632422731,3.7024041332377218
veh1.10,2,12,739.6,0.7949312808636206,2.945260752728463
veh1.7,4,137,764.4,0.6120442434342902,4.317092043809484
veh1.8,0,98,756.4,0.9364747300289007,4.237712678794644
veh1.9,3,58,748.2,0.959754632422731,3.75206125242524
veh1.10,2,16,739.6,0.7949312808636206,2.994917871915981
veh1.7,4,141,764.4,0.6120442434342902,4.366749162997001
veh1.8,0,102,756.4,0.9364747300289007,4.287369797982162
veh1.9,3,62,748.2,0.959754632422731,3.8017183716127585
veh1.10,2,20,739.6,0.7949312808636206,3.044574991103499
veh1.7,4,145,764.4,0.6120442434342902,4.41640628218452
veh1.8,0,106,756.4,0.9364747300289007,4.3370269171696805
veh1.9,3,66,748.2,0.959754632422731,3.851375490800277
veh1.10,2,24,739.6,0.7949312808636206,3.094232110291017
veh1.7,4,149,764.4,0.6120442434342902,4.466063401372038
veh1.8,4,110,756.4,0.9364747300289007,4.386684036357199
veh1.9,3,70,748.2,0.959754632422731,3.9010326099877943
veh1.10,2,28,739.6,0.7949312808636206,3.1438892294785354
veh1.7,1,153,764.4,0.6120442434342902,4.515720520559556
veh1.8,4,114,756.4,0.9364747300289007,4.436341155544717
veh1.9,3,74,748.2,0.959754632422731,3.9506897291753127
veh1.10,2,32,739.6,0.7949312808636206,3.193546348666054
veh1.7,1,157,764.4,0.6120442434342902,4.565377639747075
veh1.8,4,118,756.4,0.9364747300289007,4.485998274732236
veh1.9,3,78,748.2,0.959754632422731,4.000346848362831
veh1.10,2,36,739.6,0.7949312808636206,3.243203467853572
veh1.7,1,161,764.4,0.6120442434342902,4.615034758934593
veh1.8,4,122,756.4,0.9364747300289007,4.535655393919753
veh1.9,0,82,748.2,0.959754632422731,4.050003967550349
veh1.10,3,40,739.6,0.7949312808636206,3.29286058704109
veh1.11,2,0,731.4,0.6165624881000058,2.543802562042773
veh1.7,1,166,764.4,0.6120442434342902,4.677106157918991
veh1.8,4,127,756.4,0.9364747300289007,4.597726792904151
veh1.9,0,87,748.2,0.959754632422731,4.112075366534747
veh1.10,3,45,739.6,0.7949312808636206,3.354931986025488
veh1.11,2,5,731.4,0.6165624881000058,2.6058739610271706
veh1.7,1,171,764.4,0.6120442434342902,4.739177556903389
veh1.8,4,132,756.4,0.9364747300289007,4.659798191888549
veh1.9,0,92,748.2,0.959754632422731,4.174146765519145
veh1.10,3,50,739.6,0.7949312808636206,3.4170033850098855
veh1.11,2,10,731.4,0.6165624881000058,2.6679453600115686
veh1.7,1,176,764.4,0.6120442434342902,4.801248955887786
veh1.8,4,137,756.4,0.9364747300289007,4.721869590872947
veh1.9,0,97,748.2,0.959754632422731,4.236218164503542
veh1.10,3,55,739.6,0.7949312808636206,3.4790747839942835
veh1.11,2,15,731.4,0.6165624881000058,2.7300167589959665
veh1.7,1,181,764.4,0.6120442434342902,4.863320354872185
veh1.8,4,142,756.4,0.9364747300289007,4.783940989857345
veh1.9,0,102,748.2,0.959754632422731,4.29828956348794
veh1.10,3,60,739.6,0.7949312808636206,3.5411461829786814
veh1.11,2,20,731.4,0.6165624881000058,2.792088157980364
veh1.7,1,186,764.4,0.6120442434342902,4.925391753856582
veh1.8,4,147,756.4,0.9364747300289007,4.846012388841742
veh1.9,0,107,748.2,0.959754632422731,4.360360962472338
veh1.10,3,65,739.6,0.7949312808636206,3.603217581963079
veh1.11,2,25,731.4,0.6165624881000058,2.8541595569647615
veh1.8,1,151,756.4,0.9364747300289007,4.89566950802926
veh1.9,0,111,748.2,0.959754632422731,4.410018081659857
veh1.10,3,69,739.6,0.7949312808636206,3.6528747011505973
veh1.11,2,29,731.4,0.6165624881000058,2.90381667615228
veh1.8,1,155,756.4,0.9364747300289007,4.945326627216779
veh1.9,0,115,748.2,0.959754632422731,4.459675200847375
veh1.10,0,73,739.6,0.7949312808636206,3.7025318203381152
veh1.11,2,33,731.4,0.6165624881000058,2.9534737953397983
veh1.8,1,159,756.4,0.9364747300289007,4.994983746404297
veh1.9,0,119,748.2,0.959754632422731,4.509332320034893
veh1.10,0,77,739.6,0.7949312808636206,3.7521889395256336
veh1.11,2,37,731.4,0.6165624881000058,3.0031309145273166
veh1.8,1,163,756.4,0.9364747300289007,5.044640865591815
veh1.9,0,123,748.2,0.959754632422731,4.558989439222411
veh1.10,0,81,739.6,0.7949312808636206,3.801846058713152
veh1.11,3,41,731.4,0.6165624881000058,3.0527880337148345
veh1.8,1,167,756.4,0.9364747300289007,5.094297984779333
veh1.9,4,127,748.2,0.959754632422731,4.608646558409929
veh1.10,0,85,739.6,0.7949312808636206,3.8515031779006703
veh1.11,3,45,731.4,0.6165624881000058,3.102445152902353
veh1.12,2,0,722.2,0.5639365287137283,2.453192346420292
veh1.8,1,172,756.4,0.9364747300289007,5.156369383763731
veh1.9,4,132,748.2,0.959754632422731,4.670717957394327
veh1.10,0,90,739.6,0.7949312808636206,3.913574576885068
veh1.11,3,50,731.4,0.6165624881000058,3.1645165518867504
veh1.12,2,5,722.2,0.5639365287137283,2.51526374540469
veh1.8,1,177,756.4,0.9364747300289007,5.218440782748129
